Horn|Speaker kecil
Pink GreenDetail|rumah bunga pink
Dream CastleDetail|kastil fantasi
Snowy roomDetail|kamar pemandangan salju
Luxury CastleDetail|kastil mewah
TempleDetail|kamar sakura salju
Old bell towerDetail|Menara lonceng kuno
Small courtyardDetail|halaman
Gemstone BraceletDetail|gelang permata
Gemstone DragonflyDetail|permata capung
The gold watchDetail|jam emas
The golden watchDetail|jam emas
Emerald RingDetail|cincin permata hijau
NecklaceDetail|kalung
BroochDetail|Bros
PearlDetail|mutiara
Diamond WatchDetail|jam berlian
