Horn|Duyuru Kartı
Blue Watch|Mavi Saat
Blue Diamond|Mavi Elmas
Jade|Yeşim Taşı
Pearl Ring|İnci yüzük
Cigar|Puro
Smoke|Sigara
Pipe|Pipo
A carton of cigars|Bir Karton Puro
A carton of cigarettes|Bir karton sigara
A box of cigars|Bir kutu puro
Bear|Ayı
Dinosaur|Dinozor
Cube|Küp
Football|Futbol
Yellow duck|Küçük Sarı Ördek
LittlePig|Küçük Domuz
Marc jacobs|Pembe Papatya
Chinese rose|Çin Gülü
Orange daisy|Turuncu papatya
Poppy powder|Pembe güzellik
Red rose|Kırmızı gül
Rose gift box|Gül Hediye Kutusu
Rose bunch|Demet Gül
Carnation|Karanfil
Camellia|Japon Gülü
Red lips|Kırmızı dudaklar
Kiss|Öpücük
Red sports car|Kırmızı spor araba
Open car|Üstü Açılabilen Araba
White sports car|Beyaz Spor Araba
Yellow sports car|Sarı Spor Araba
Black motorcycle|Siyah motorsiklet
Business Vehicle|İş aracı
SUV|Spor Amaçlı Taşıt
Mini|Mini
Bicycle|Bisiklet
Red motor|Kırmızı motor
The Beatles|The Beatles
Canoe|Kano
Luxury yacht|Lüks Yat
Yacht|Yat
Sailboat|Yelkenli Tekne
Red Cruise|Kırmızı Tekne
Wooden boat|Ahşap Tekne
The white ship|Beyaz Gemi
Fairy tale castle|Peri Masalı Kalesi
Villa|Villa
Log cabin|Ahşap Kulübe
Luxury shop|Lüks Alışveriş
Pink Green|Pembe Yeşil
Dream Castle|Rüya Kale
Snowy room|Karlı Oda
Luxury Castle|Lüks Kale
Temple|Tapınak
Old bell tower|Eski Çan Kulesi
Small courtyard|Küçük Avlu
Gemstone Bracelet|Değerli Bilezik
Gemstone Dragonfly|Değerli Yusufçuk
The gold watch|Altın Saat
The golden watch|Altın Saat
Emerald Ring|Zümrüt Yüzük
Necklace|Kolye
Brooch|Süs iğnesi
Pearl|İnci
Diamond Watch|Elmas saat
WaterDetail|Kaynar Su
Orange JuiceDetail|Portakal Sıuı
CocktailDetail|Kokteyl
CoffeeDetail|Kahve
Mineral waterDetail|Maden suyu
Blue CocktailDetail|Mavi kokteyl
Cold drinkDetail|Soğuk İçecek
MilkDetail|Süt
BeerDetail|Bira
Summer drinkDetail|Yaz İçeceği
Ice creamDetail|Dondurma
CakeDetail|Kek
RiceDetail|Pilav
HamburgerDetail|Hamburger
WaffleDetail|Gözleme
NoodlesDetail|Erişte
AppleDetail|Elma
Hot dogDetail|Sosisli Sandviç	
French friesDetail|Patates Kızartması
DoughnutDetail|Donat
ZebraDetail|Zebra
DogDetail|Köpek
MonkeyDetail|Maymun
ChickenDetail|Tavuk
TigerDetail|Kaplan
HorseDetail|At
CatDetail|Kedi
CattleDetail|Sığır
LionDetail|Aslan
RabbitDetail|Tavşan
SnailDetail|Salyangoz
TortoiseDetail|Kaplumbağa
DuckDetail|Kaz
SheepDetail|Koyun
ParrotDetail|Papağan
PigDetail|Domuz
The benchDetail|Tezgah
CupDetail|Fincan
Notebook computerDetail|Dizüstü Bilgisayar
ShovelDetail|Kürek
GuitarDetail|Gitar
Roll of paperDetail|Kağıt Tomarı
BrainDetail|Brain
Mobile phoneDetail|Mobil Telefon
BookDetail|Kitap
SkullDetail|Kafatası
PillowDetail|Yastık
LandlineDetail|Sabit Hat
BagDetail|Çanta
KnapsackDetail|Sırt çantası
ShoesDetail|Ayakkabılar
Pink skirtDetail|Pempe Etek
High-heeled shoesDetail|Topuklu Ayakkabılar
Black suitDetail|Siyah Elbise
Red dressDetail|Kırmızı Kıyafet
Blue dressDetail|Mavi Kıyafet
Blue bagDetail|Mavi Çanta
Full dressDetail|Resmi Elbise
Leather shoesDetail|Deri Ayakkabılar
Chinese tunic suitDetail|Çin Tunik Elbisesi
Platinum ringDetail|Platin Yüzük
White WatchDetail|Beyaz Yüzük
White jadeDetail|Beyaz Yeşim Taşı
The Stone FlowerDetail|Mücevher Çiçek
Gemstone ringsDetail|Değerli Taş Yüzükleri
Gem NecklaceDetail|Değerli Kolye
On the ringDetail|Yüzük üzerinde
Pink DiamondDetail|Pembe Elmas
RubyDetail|Yakut
Red watchDetail|Kırmızı Saat
An crownDetail|Bir Taç
GoldDetail|Gold
Golden shellDetail|Altın kabuk
Gold ringDetail|Altın Yüzük
The golden birdDetail|Altın Saat
Blue WatchDetail|Mavi Saat
Blue DiamondDetail|Mavi Elmas
JadeDetail|Yeşim taşı
Pearl RingDetail|İnci yüzük
DiamondsDetail|Elmaslar
CigarDetail|Puro
SmokeDetail|Sigara
PipeDetail|Pipo
A carton of cigarsDetail|Bir Karton Puro
A carton of cigarettesDetail|Bir Karton Sigara
A box of cigarsDetail|Bir Kutu Puro
BearDetail|Ayı
DinosaurDetail|Dinozor
CubeDetail|Küp
FootballDetail|Futbol
Yellow duckDetail|Yeşil Ördek
LittlePigDetail|Küçük Domuz
Marc jacobsDetail|Pempe Papatya
Chinese roseDetail|Çin Gülü
Orange daisyDetail|Turuncu Papatya
Poppy powderDetail|Pembe güzellik
Red roseDetail|Kırmızı Gül
Rose gift boxDetail| Hediye  Gül Kutusu
Rose bunchDetail|Gül Demeti
CarnationDetail|Karanfil
CamelliaDetail|Japon gülü
Red lipsDetail|Kırmızı dudaklar
KissDetail|Öpücük
Red sports carDetail|Kırmızı Spor Araba
Open carDetail|Üstü Açılabilir Araba
White sports carDetail|Beyaz Spor Araba
Yellow sports carDetail|Sarı Spor Araba
Black motorcycleDetail|Siyah Motorsiklet
Business VehicleDetail|İs Aracı
SUVDetail|Spor Amaçlı Taşıt
MiniDetail|Mini
BicycleDetail|Bisiklet
Red motorDetail|Kırmızı Motor
The BeatlesDetail|The Beatles
CanoeDetail|Kano
Luxury yachtDetail|Lüks Yat
YachtDetail|Yat
SailboatDetail|Yelkenli Tekne
Red CruiseDetail|Kırmızı Tekne
Wooden boatDetail|Ahşap Tekne
The white shipDetail|Beyaz Gemi
Fairy tale castleDetail|Peri Masalı Kalesi
VillaDetail|Villa
Log cabinDetail|Ahşap kulübe
Luxury shopDetail|Lüks Alışveriş
Pink GreenDetail|Pembe Yeşil
Dream CastleDetail|Rüya Kale
Snowy roomDetail|Karlı Oda
Luxury CastleDetail|Lüks Kale
TempleDetail|Sakura Kar Manzaralı Oda
Old bell towerDetail|Eski Çan Kalesi
Small courtyardDetail|Küçük Avlu
Gemstone BraceletDetail|Değerli Bilezik
Gemstone DragonflyDetail|Değerli Yusufçuk
The gold watchDetail|Altın Saat
The golden watchDetail|Altın Saat
Emerald RingDetail|Zümrüt Yüzük
NecklaceDetail|Kolye
BroochDetail|Süs iğnesi
PearlDetail|İnci
Diamond WatchDetail|Elmas Saat
