Horn|Small speakers
Orange daisy|Улбар шар өнгийн Daisy
Poppy powder|Ягаан гоо сайхан
Red rose|Улаан сарнай
Rose gift box|Rose бэлэг хайрцаг
Rose bunch|Сарнай цэцгийн баглаа
Carnation|Carnation
Camellia|Камэллиа
Red lips|Улаан уруул
Kiss|Үнсэх
Red sports car|Улаан спорт машин
Open car|Convertible Car
White sports car|Цагаан спорт машин
Yellow sports car|Шар уралдааны машин
Black motorcycle|Хар мотоцикл
Business Vehicle|бизнесийн машин
SUV|SUV
Mini|Mini
Bicycle|унадаг дугуй
Red motor|Улаан мотор
The Beatles|цох
Canoe|завө
Luxury yacht|тансаг завь
Yacht|дарвуулт онгоц
Sailboat|Далбаат завь
Red Cruise|Улаан аялалын хөлөг онгоц
Wooden boat|Модон завь
The white ship|Цагаан завь
Fairy tale castle|Ордон
Villa|Вилла
Log cabin|Модон хаус
Luxury shop|Тансаг зэрэглэлийн дэлгүүр
Pink Green|Ягаан цэцгийн өрөө
Dream Castle|Мөрөөдлийн цайз
Snowy room|Цасан өрөө
Luxury Castle|Тансаг ордон
Temple|Ариун сүм
Old bell tower|Хуучний хонхон цамхаг
Small courtyard|Small courtyard
Gemstone Bracelet|Эрдэнэст чулуут бугуйвч
Gemstone Dragonfly|Эрдэнэст чулуут луу
The gold watch|Алтан цаг
The golden watch|Алтан цаг
Emerald Ring|Маргад цагираг
Necklace|Зүүлт
Brooch|энгэрийн
Pearl|Сувд
Diamond Watch|Алмазан цаг
WaterDetail|буцалсан ус
Orange JuiceDetail|жүржийн шүүс
CocktailDetail|коктейл
CoffeeDetail|кофе
Mineral waterDetail|рашаан
Blue CocktailDetail|цэнхэр өнгөтэй коктейл
Cold drinkDetail|хүйтэн ундаа
MilkDetail|сүү
BeerDetail|шар айраг 
Summer drinkDetail|зуны ундаа
Ice creamDetail|зайрмаг
CakeDetail|бялуу
RiceDetail|цагаан будаа
HamburgerDetail|бургер
WaffleDetail|Ваффли
NoodlesDetail|Гоймон
AppleDetail|Алим
Hot dogDetail|Хот дог
French friesDetail|Шарсан Төмс
DoughnutDetail|Донут
ZebraDetail|Зибра
DogDetail|Нохой
MonkeyDetail|Сармагчин
ChickenDetail|Тахиа
TigerDetail|Бар
HorseDetail|Морь
CatDetail|Муур
CattleDetail|Үхэр
LionDetail|Арслан
RabbitDetail|Туулай
SnailDetail|эмгэн хумс
TortoiseDetail|Мэлхий
DuckDetail|Нугас
SheepDetail|Хонь
ParrotDetail|тоть
PigDetail|гахай
The benchDetail|сандал
CupDetail|Аяга
Notebook computerDetail|компьютер
ShovelDetail|Хүрз
GuitarDetail|Гитар
Roll of paperDetail|00 цаас
BrainDetail|Тархи
Mobile phoneDetail|Гар утас
BookDetail|Ном
SkullDetail|гавлын яс
PillowDetail|Дэр
LandlineDetail|Суурин утас
BagDetail|Цүнх
KnapsackDetail|үүргэвч
ShoesDetail|гутал
Pink skirtDetail|ягаан даашиз
High-heeled shoesDetail|өндөр өсгийтэй гутал
Black suitDetail|Хар костюм
Red dressDetail|Улаан өнгөтэй банзал
Blue dressDetail|цэнхэр өнгөтэй банзал
Blue bagDetail|Цэнхэр цүнх
Full dressDetail|Хувцаслалт
Leather shoesDetail|Арьсан гутал
Chinese tunic suitDetail|Хятад костюм
Platinum ringDetail|Цагаан алтан бөгж
White WatchDetail|Цагаан бугуйн цаг
White jadeDetail|Цагаан хаш
The Stone FlowerDetail|Эрдэнийн цэцэг
Gemstone ringsDetail|Эрдэст чулуун бөгөж
Gem NecklaceDetail|Эрдэнийн зүүлт
On the ringDetail|Бөгж
Pink DiamondDetail|Яагаан алмаз
RubyDetail|улаан Эрдэнийн чулуу
Red watchDetail|Улаан бугуйн цаг
An crownDetail|Титэм
GoldDetail|Алт
Golden shellDetail|Алтан Бүрхүүл
Gold ringDetail|Алтан бөгөж
The golden birdDetail|Алтан шувуу
Blue WatchDetail|Цэнхэр бугуйн цаг
Blue DiamondDetail|Цэнхэр алмаз
JadeDetail|Хаш
Pearl RingDetail|Сувдан бөгж
DiamondsDetail|алмаз
CigarDetail|Тамхи
SmokeDetail|утаа
PipeDetail|тамхины хоолой
A carton of cigarsDetail|Бүтэн тамхи
A carton of cigarettesDetail|Нэг хайрцаг тамхи
A box of cigarsDetail|Хайрцаг тамхи
BearDetail|бамбарууш
DinosaurDetail|Динозаур
CubeDetail|Рубикийн шоо
FootballDetail|Хөлбөмбөг
Yellow duckDetail|Бяцхан шар нугас
LittlePigDetail|Жижиг гахай
Marc jacobsDetail|Ягаан Daisy
Chinese roseDetail|Ягаан сарнай
Orange daisyDetail|Улбар шар өнгийн Daisy
Poppy powderDetail|Ягаан гоо сайхан
Red roseDetail|улаан сарнай 
Rose gift boxDetail|Сарнайн бэлэгний хайрцаг
Rose bunchDetail|Сарнайн баглаа
CarnationDetail|улаан лиш
CamelliaDetail|Шар сарнай
Red lipsDetail|Улаан уруул
KissDetail|Үнсэх
Red sports carDetail|улаан спорт машин
Open carDetail|Convertible Car
White sports carDetail|цагаан спорт машин
Yellow sports carDetail|Шар спорт машин
Black motorcycleDetail|Хар мотоцикл
Business VehicleDetail|Бизнес машин
SUVDetail|SUV
MiniDetail|Жижиг
BicycleDetail|унадаг дугуй
Red motorDetail|Улаан мотоцикл
The BeatlesDetail|Цох
CanoeDetail|Ганц модон завь
Luxury yachtDetail|Тансаг дарвуулт онгоц
YachtDetail|дарвуулт онгоц
SailboatDetail|Дарвуулт завь
Red CruiseDetail|Улаан  өнгөтэй аялалын хөлөг онгоц
Wooden boatDetail|модон завь
The white shipDetail|Цагаан өнгөтэй аялалын хөлөг онгоц
Fairy tale castleDetail|Ордон
VillaDetail|Вилла
Log cabinDetail|модон байшин
Luxury shopDetail|тансаг зэрэглэлийн дэлгүүр
Pink GreenDetail|Ягаан цэцгийн байшин
Dream CastleDetail|Уран зөгнөлийн цайз
Snowy roomDetail|Цас харагдах өрөө
Luxury CastleDetail|тансаг цайз
TempleDetail|Ариун сүм
Old bell towerDetail|Эртний хонхон цамхаг
Small courtyardDetail|Жижиг хашаа
Gemstone BraceletDetail|Эрдэнийн чулуун бөгж
Gemstone DragonflyDetail|Эрдэнийн чулуу
The gold watchDetail|алтан бугуйн цаг
The golden watchDetail|алтан бугуйн цаг
Emerald RingDetail|маргад эрдэнийн бөгж
NecklaceDetail|Зүүлт
BroochDetail|энгэрийн
PearlDetail|сувд
Diamond WatchDetail|алмазан бугуйн цаг
